No,NaptanCode,CommonName
782,73724548,Cluny Terrace
783,73724796,Fortingall Place
784,73723768,Cluny Terrace
785,73734242,Lettoch Road
786,73724689,Campsie Road
787,73725278,Campsie Road
788,73723748,Moulin Crescent
789,73723756,DEL-Newhouse Road
790,73723752,Kenmore Terrace
791,73724824,Kenmore Terrace
792,73723626,Welcome Inn
793,73725265,Welcome Inn
794,73723246,Letham Day Centre
795,73725269,Day Centre
796,73745879,Lettoch Terrace
797,73723284,Dunsinane Drive
798,73725295,Dunsinane Drive
799,73723797,Kingswell Terrace
800,73725327,Mercer Terrace
801,73723279,Mercer Terrace
802,73723259,Marlee Road
803,73725293,Marlee Road
804,73725298,Campsie Road
805,73723268,Campsie Road
806,73723265,Tweedsmuir Road
807,73745897,Knockhard Road
808,73723264,Kingswell Place
809,73723263,Kingswell Terrace
810,73725292,Goodlyburn Terrace
811,73725289,Rannoch Road
812,73724728,Rannoch Road
813,73724726,Rannoch Road
814,73723586,Hillcrest Avenue
815,73724723,Church Street
816,73724769,Wellshill Cemetery
817,73723743,Wellshill Cemetery
818,73734246,High School
819,73723583,Longcauseway
820,73725284,Longcauseway
821,73724849,Letham Road
822,73724392,Letham Road
823,73723579,Goodlyburn Place
824,73725323,Goodlyburn Place
825,73723563,Hawarden Terrace
826,73723569,Hawarden Terrace
827,73725282,Rose Crescent
828,73723567,Spens crescent
829,73734235,Tomcroy Terrace
830,73724758,Coach House Court
831,73723736,Coach House Court
832,73724897,Letham Road
833,73725285,Fairies Road
834,73723576,Fairies Road
835,73725286,Craiglea Road
836,73723636,Mountview Road
837,73723625,Ambulance Depot
838,73745874,Darach Road
839,73723737,Muirend Road
840,73725342,Cargill Place
841,73723595,Cargill Place
842,73723594,Firbank Road
843,73725268,Firbank Road
844,73725272,Mavisbank Gardens
845,73723493,Mavisbank Gardens
846,73725275,Newhouse Road
847,73723487,Newhouse Road
848,73724385,Soutar Crescent
849,73745895,Well Brae
850,73724525,Soutar Crescent
851,73724943,Ferguson Drive
852,73723846,Ferguson Drive
853,73724636,Trinafour
854,73723837,Trinafour
855,73723479,Grange Terrace
856,73725296,Grange Terrace
857,73724596,Traquair Gardens
858,73724874,Alder Drive
859,73724543,Perth High School
860,73724894,Ross Avenue
861,73724534,Ross Avenue
862,73724853,Oakbank Place
863,73724584,Cleeve Drive
864,73724547,Oakbank Place
865,73723854,Oakbank Crescent
866,73723853,Viewlands Road
867,73725276,Muirend Avenue
868,73725685,Community Centre
869,73723526,Community Centre
870,73725625,Elm Lane
871,73723527,Elm Lane
872,73725626,Beechgrove Drive
873,73753262,Hillcrest Avenue
874,73728254,Hill Farm Cottages
875,73725628,Cedar Place
876,73723532,Holly Terrace
877,73723534,Rosslyn House
878,73725632,Elibank Street
879,73723562,York Place
880,73725647,York Place
881,73723859,Commercial Street
882,73727965,Errol Park Estate
883,73723862,Hatton Way
884,73723543,Langley Place
885,73723864,Langley Drive
886,73724565,Murray Royal Hospital
887,73723852,Murray Royal Hospital
888,73723868,Lochie Brae
889,73724976,Strathmore Street
890,73724873,Kinnoull Hill
891,73724872,Bowerswell Road
892,73725635,Canal Street
893,73724967,Hospital Street
894,73723545,Park and Ride
895,73725637,Lamberkine Drive
896,73723547,Lamberkine Drive
897,73725639,Braeside Gardens
898,73723549,Braeside Gardens
899,73723489,Murray Place
900,73734236,Longleys
901,73723536,Elibank Street
902,73724657,South Methven Street
903,73724652,Scott Street
904,73723478,Tesco
905,73724678,DEL-Carpenter Court
906,73724679,St Johns RC Church
907,73723826,St Johns RC Church
908,73724683,Balhousie Avenue
909,73723827,Balhousie Avenue
910,73724685,Premier Store
911,73745896,Longleys
912,73723828,Premier Store
913,73723829,Balhousie Street
914,73724686,Balhousie Street
915,73723832,Ainslie Gardens East
916,73724637,Ainslie Gardens East
917,73723834,Sandpiper Gardens
918,73724626,Sandpiper Gardens
919,73723482,Day Centre
920,73723483,Osprey Drive
921,73725646,Osprey Drive
922,73745875,Mains of Camno
923,73723825,Water Works
924,73724627,Water Works
925,73723839,Lewis Place
926,73724629,Lewis Place
927,73723842,Crammond Place
928,73724632,Crammond Place
929,73723843,Rona Court
930,73724634,Rona Court
931,73724879,Brora Court
932,73724294,Brora Court
933,73745894,Mains of Camno
934,73724893,Jura Street
935,73724535,Jura Street
936,73723484,Ainslie Gardens West
937,73725489,Ainslie Gardens West
938,73725486,Kings Place
939,73723847,St Leonards Bank
940,73723485,Post Office
941,73724654,Post Office
942,73724864,Glenearn Community Campus
943,73724364,Glenearn Community Campus
944,73734239,Visitor Centre
945,73724857,Glenearn Carpets
946,73724932,Edwards Engineering
947,73725634,Glenlyon Road
948,73724647,Craigie Road
949,73724645,Glenfarg Terrace
950,73723923,Glenfarg Terrace
951,73724946,Quarry
952,73724376,Quarry
953,73723836,Glendevon Road
954,73723876,Glenlochy Road
955,73723938,Craigie Knowes Road
956,73724649,Glendevon Road
957,73723939,Craigie Knowes Road
958,73723942,Craigie Knowes Avenue
